epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.03506,1.60874,5.29405,1.17597,0,0,0,0,1.21771,5.29106,1.01795,2.5e-05,2.5e-05,2.5e-05
2,9.58327,1.40257,5.18953,1.07677,0,0,0,0,1.06829,5.09979,0.92608,5.14605e-05,5.14605e-05,5.14605e-05
3,14.614,1.27579,5.02499,0.99796,0,0,0,0,1.05444,5.03003,0.90664,7.6832e-05,7.6832e-05,7.6832e-05
4,19.3748,1.20511,4.82324,0.95695,0,0,0,0,1.03399,4.93372,0.88274,0.000101114,0.000101114,0.000101114
5,24.2354,1.17963,4.62863,0.91505,0.00579,0.00714,0.0038,0.00307,1.01644,4.73848,0.8667,0.000124308,0.000124308,0.000124308
6,30.9432,1.12638,4.44679,0.92506,0.02596,0.0775,0.02028,0.01526,1.02067,4.54305,0.87056,0.000146413,0.000146413,0.000146413
7,39.7366,1.12946,4.32834,0.90234,0.02951,0.19716,0.0305,0.02317,0.97838,4.387,0.86852,0.000167428,0.000167428,0.000167428
8,48.7311,1.11338,4.21237,0.89494,0.02484,0.34384,0.03765,0.0285,1.02603,4.2198,0.8788,0.000187355,0.000187355,0.000187355
9,57.1113,1.083,4.06687,0.8951,0.02888,0.4109,0.05209,0.03838,0.98328,4.08642,0.87553,0.000206192,0.000206192,0.000206192
10,67.8865,1.11455,3.9738,0.8931,0.02913,0.46658,0.06577,0.04777,0.98784,3.94573,0.87874,0.00020545,0.00020545,0.00020545
11,81.0622,1.09209,3.84359,0.89004,0.03014,0.52453,0.06528,0.04732,1.05565,3.84221,0.88932,0.0002005,0.0002005,0.0002005
12,96.5739,1.06581,3.68764,0.88473,0.54588,0.1004,0.08145,0.06235,1.0049,3.69504,0.88694,0.00019555,0.00019555,0.00019555
13,109.574,1.08077,3.61299,0.88312,0.55513,0.12511,0.09529,0.0728,0.99503,3.61379,0.88836,0.0001906,0.0001906,0.0001906
14,121.39,1.10928,3.49712,0.89217,0.54831,0.13721,0.11395,0.08546,1.02862,3.55144,0.89229,0.00018565,0.00018565,0.00018565
15,132.679,1.04704,3.39443,0.88514,0.55398,0.14002,0.1269,0.09456,1.0412,3.45476,0.89418,0.0001807,0.0001807,0.0001807
16,160.365,1.0631,3.26201,0.88006,0.58481,0.14615,0.14212,0.1081,1.0103,3.29675,0.88856,0.00017575,0.00017575,0.00017575
17,172.717,1.06922,3.1309,0.88938,0.47066,0.16564,0.15241,0.11654,0.99136,3.1614,0.88609,0.0001708,0.0001708,0.0001708
18,183.864,1.08371,3.08924,0.87654,0.58117,0.15438,0.1722,0.13422,0.9801,2.99139,0.8849,0.00016585,0.00016585,0.00016585
19,195.063,1.03477,2.99368,0.87389,0.49307,0.21198,0.19269,0.14916,0.96539,2.89057,0.88088,0.0001609,0.0001609,0.0001609
20,205.691,1.05305,2.92009,0.88572,0.54308,0.21491,0.20769,0.15829,0.97076,2.79464,0.88247,0.00015595,0.00015595,0.00015595
21,216.571,1.03287,2.86715,0.88107,0.57062,0.22489,0.21108,0.15739,0.99755,2.75541,0.88476,0.000151,0.000151,0.000151
22,446.912,1.02601,2.79795,0.87782,0.48631,0.11624,0.10861,0.08172,0.98033,2.64747,0.88222,0.00014605,0.00014605,0.00014605
23,471.448,1.05466,2.66586,0.88393,0.56272,0.21436,0.18408,0.13975,0.97291,2.51132,0.88033,0.0001411,0.0001411,0.0001411
24,495.774,1.02267,2.63254,0.87873,0.59123,0.24604,0.24047,0.17952,1.01617,2.46367,0.88529,0.00013615,0.00013615,0.00013615
25,516.495,1.03323,2.56612,0.8811,0.61089,0.25013,0.27001,0.20394,0.99647,2.42626,0.88347,0.0001312,0.0001312,0.0001312
26,540.297,1.0278,2.58896,0.87904,0.5939,0.21317,0.21331,0.16276,0.97189,2.39956,0.88053,0.00012625,0.00012625,0.00012625
27,559.425,1.02784,2.43357,0.88224,0.6191,0.3063,0.29515,0.22065,0.98346,2.38283,0.88072,0.0001213,0.0001213,0.0001213
28,572.81,1.03469,2.41458,0.88974,0.62079,0.3009,0.31141,0.23685,0.957,2.26966,0.87763,0.00011635,0.00011635,0.00011635
29,585.855,1.04179,2.44372,0.88774,0.61985,0.32055,0.32438,0.24774,0.95035,2.18372,0.8774,0.0001114,0.0001114,0.0001114
30,598.176,1.02648,2.35349,0.88339,0.6347,0.35189,0.33684,0.25526,0.97658,2.11667,0.88035,0.00010645,0.00010645,0.00010645
31,610.826,1.02123,2.27476,0.8822,0.65841,0.32354,0.34393,0.25892,0.97329,2.07949,0.88169,0.0001015,0.0001015,0.0001015
32,622.793,0.97143,2.25275,0.87771,0.62238,0.33943,0.35089,0.26716,0.95373,2.05169,0.87961,9.655e-05,9.655e-05,9.655e-05
33,635.12,1.01228,2.23946,0.87339,0.62402,0.33934,0.35873,0.27226,0.94725,2.04422,0.87821,9.16e-05,9.16e-05,9.16e-05
34,646.922,1.00895,2.23013,0.88364,0.67798,0.34245,0.36621,0.27674,0.94604,2.02808,0.87789,8.665e-05,8.665e-05,8.665e-05
35,658.776,0.97399,2.1937,0.88217,0.66475,0.3618,0.37083,0.28304,0.94985,2.0177,0.88029,8.17e-05,8.17e-05,8.17e-05
