epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,554.007,1.25924,1.44405,1.15527,0.91213,0.85285,0.88412,0.54995,1.28659,1.13214,1.18921,0.000665158,0.000665158,0.000665158
2,1075.35,1.27879,0.87781,1.16431,0.92809,0.8451,0.88642,0.56248,1.268,0.80305,1.19311,0.00130545,0.00130545,0.00130545
3,1543.94,1.26768,0.78242,1.1645,0.95484,0.88625,0.92742,0.60093,1.23371,0.72732,1.15884,0.00191935,0.00191935,0.00191935
4,2007.3,1.2367,0.73305,1.14486,0.92677,0.8861,0.93137,0.60301,1.23936,0.67888,1.15569,0.0018812,0.0018812,0.0018812
5,2468.66,1.22594,0.69906,1.13618,0.95698,0.88793,0.92748,0.61971,1.19498,0.6556,1.14285,0.0018416,0.0018416,0.0018416
6,2943.34,1.2026,0.66707,1.11702,0.9752,0.91207,0.95008,0.6359,1.16022,0.59298,1.11429,0.001802,0.001802,0.001802
7,3414.77,1.1884,0.64511,1.1132,0.96056,0.90994,0.94913,0.6386,1.17628,0.57071,1.12185,0.0017624,0.0017624,0.0017624
8,3881.29,1.18103,0.62573,1.10954,0.97268,0.91572,0.95396,0.64529,1.1723,0.56556,1.10924,0.0017228,0.0017228,0.0017228
9,4350.75,1.1663,0.60597,1.09983,0.97704,0.91891,0.95583,0.6616,1.14086,0.52707,1.0981,0.0016832,0.0016832,0.0016832
10,4825.1,1.15183,0.59482,1.09511,0.96752,0.9221,0.95716,0.64873,1.16245,0.53856,1.0906,0.0016436,0.0016436,0.0016436
11,5293.79,1.15414,0.58788,1.09183,0.97262,0.92483,0.9578,0.65405,1.14367,0.54263,1.10827,0.001604,0.001604,0.001604
12,5768.45,1.14257,0.57872,1.08578,0.9623,0.92847,0.95868,0.66494,1.1164,0.52114,1.08314,0.0015644,0.0015644,0.0015644
13,6240.04,1.13996,0.5717,1.08669,0.97643,0.92464,0.96416,0.67859,1.11197,0.49579,1.07712,0.0015248,0.0015248,0.0015248
14,6711.01,1.12882,0.55562,1.07766,0.96339,0.92437,0.9557,0.66421,1.11813,0.51074,1.08651,0.0014852,0.0014852,0.0014852
15,7158.73,1.13274,0.55968,1.08282,0.97601,0.92694,0.96266,0.6689,1.13111,0.49837,1.07811,0.0014456,0.0014456,0.0014456
16,7607.97,1.11698,0.53984,1.07115,0.97678,0.91977,0.95922,0.66449,1.13743,0.52411,1.08514,0.001406,0.001406,0.001406
17,8063.71,1.11145,0.53894,1.07433,0.97581,0.93742,0.96553,0.66995,1.11554,0.47648,1.07569,0.0013664,0.0013664,0.0013664
18,8518.51,1.11963,0.53739,1.07642,0.9755,0.93485,0.96544,0.67327,1.11371,0.48676,1.07483,0.0013268,0.0013268,0.0013268
